Epoch 99/100, Loss: 0.00, Accuracy: airplane: 79.90%, automobile: 90.76%, bird: 100.00%, cat: 0.00%, deer: 0.00%, dog: 0.00%, frog: 0.00%, horse: 0.00%, ship: 0.00%, truck: 0.00%, 
Epoch 100/100, Loss: 0.00, Accuracy: airplane: 79.90%, automobile: 90.76%, bird: 100.00%, cat: 0.00%, deer: 0.00%, dog: 0.00%, frog: 0.00%, horse: 0.00%, ship: 0.00%, truck: 0.00%, 
Epoch 1/100, Loss: 33.00, Accuracy: airplane: 98.86%, automobile: 78.00%, bird: 0.04%, cat: 0.00%, deer: 0.00%, dog: 0.00%, frog: 0.00%, horse: 0.00%, ship: 0.00%, truck: 0.00%, 
Epoch 2/100, Loss: 1.10, Accuracy: airplane: 69.10%, automobile: 18.04%, bird: 0.00%, cat: 92.48%, deer: 0.00%, dog: 0.00%, frog: 0.00%, horse: 0.00%, ship: 0.00%, truck: 0.00%, 
Epoch 3/100, Loss: 0.88, Accuracy: airplane: 78.54%, automobile: 72.76%, bird: 2.62%, cat: 78.20%, deer: 0.00%, dog: 0.00%, frog: 0.00%, horse: 0.00%, ship: 0.00%, truck: 0.00%, 
Epoch 4/100, Loss: 0.75, Accuracy: airplane: 75.48%, automobile: 68.02%, bird: 15.22%, cat: 90.24%, deer: 0.00%, dog: 0.00%, frog: 0.00%, horse: 0.00%, ship: 0.00%, truck: 0.00%, 
Epoch 5/100, Loss: 0.72, Accuracy: airplane: 79.84%, automobile: 80.04%, bird: 35.72%, cat: 79.74%, deer: 0.00%, dog: 0.00%, frog: 0.00%, horse: 0.00%, ship: 0.00%, truck: 0.00%, 
Epoch 6/100, Loss: 0.64, Accuracy: airplane: 78.54%, automobile: 82.00%, bird: 35.76%, cat: 85.98%, deer: 0.00%, dog: 0.00%, frog: 0.00%, horse: 0.00%, ship: 0.00%, truck: 0.00%, 
Epoch 7/100, Loss: 0.60, Accuracy: airplane: 78.18%, automobile: 87.06%, bird: 40.74%, cat: 83.66%, deer: 0.00%, dog: 0.00%, frog: 0.00%, horse: 0.00%, ship: 0.00%, truck: 0.00%, 
Epoch 8/100, Loss: 0.57, Accuracy: airplane: 77.04%, automobile: 82.98%, bird: 46.76%, cat: 87.76%, deer: 0.00%, dog: 0.00%, frog: 0.00%, horse: 0.00%, ship: 0.00%, truck: 0.00%, 
Epoch 9/100, Loss: 0.54, Accuracy: airplane: 76.52%, automobile: 84.36%, bird: 46.54%, cat: 90.46%, deer: 0.00%, dog: 0.00%, frog: 0.00%, horse: 0.00%, ship: 0.00%, truck: 0.00%, 
Epoch 10/100, Loss: 0.51, Accuracy: airplane: 77.38%, automobile: 80.70%, bird: 50.52%, cat: 91.66%, deer: 0.00%, dog: 0.00%, frog: 0.00%, horse: 0.00%, ship: 0.00%, truck: 0.00%, 
Epoch 11/100, Loss: 0.50, Accuracy: airplane: 78.52%, automobile: 80.56%, bird: 51.62%, cat: 92.50%, deer: 0.00%, dog: 0.00%, frog: 0.00%, horse: 0.00%, ship: 0.00%, truck: 0.00%, 
Epoch 12/100, Loss: 0.46, Accuracy: airplane: 85.38%, automobile: 86.92%, bird: 50.34%, cat: 86.98%, deer: 0.00%, dog: 0.00%, frog: 0.00%, horse: 0.00%, ship: 0.00%, truck: 0.00%, 
Epoch 13/100, Loss: 0.44, Accuracy: airplane: 85.56%, automobile: 87.82%, bird: 50.24%, cat: 88.24%, deer: 0.00%, dog: 0.00%, frog: 0.00%, horse: 0.00%, ship: 0.00%, truck: 0.00%, 
Epoch 14/100, Loss: 0.45, Accuracy: airplane: 83.30%, automobile: 87.30%, bird: 50.20%, cat: 92.62%, deer: 0.00%, dog: 0.00%, frog: 0.00%, horse: 0.00%, ship: 0.00%, truck: 0.00%, 
Epoch 15/100, Loss: 0.40, Accuracy: airplane: 70.18%, automobile: 83.12%, bird: 64.00%, cat: 93.08%, deer: 0.00%, dog: 0.00%, frog: 0.00%, horse: 0.00%, ship: 0.00%, truck: 0.00%, 
Epoch 16/100, Loss: 0.48, Accuracy: airplane: 81.92%, automobile: 89.18%, bird: 33.10%, cat: 96.06%, deer: 0.00%, dog: 0.00%, frog: 0.00%, horse: 0.00%, ship: 0.00%, truck: 0.00%, 
Epoch 17/100, Loss: 0.38, Accuracy: airplane: 89.20%, automobile: 90.04%, bird: 47.42%, cat: 87.22%, deer: 0.00%, dog: 0.00%, frog: 0.00%, horse: 0.00%, ship: 0.00%, truck: 0.00%, 
Epoch 18/100, Loss: 0.37, Accuracy: airplane: 92.22%, automobile: 80.68%, bird: 49.88%, cat: 90.86%, deer: 0.00%, dog: 0.00%, frog: 0.00%, horse: 0.00%, ship: 0.00%, truck: 0.00%, 
